DataElement,DataType,DataValue,TBIFlag
PM&R Transitional Rehab,Category of Care Inpatient Length of Stay,44,Y
PM&R Transitional Rehab,Category of Care Inpatient Length of Stay,--,N
Rehabilitation Medicine,Category of Care Inpatient Length of Stay,83,Y
Rehabilitation Medicine,Category of Care Inpatient Length of Stay,76,N
Neurology,Category of Care Inpatient Length of Stay,140,Y
Neurology,Category of Care Inpatient Length of Stay,264,N
Intermediate,Category of Care Inpatient Length of Stay,--,Y
Intermediate,Category of Care Inpatient Length of Stay,18,N
Any Domiciliary,Category of Care Inpatient Length of Stay,1878,Y
Any Domiciliary,Category of Care Inpatient Length of Stay,4540,N
Mental Health Domiciliary,Category of Care Inpatient Length of Stay,1514,Y
Mental Health Domiciliary,Category of Care Inpatient Length of Stay,3429,N
Nursing Home/Long Term Care,Category of Care Inpatient Length of Stay,102,Y
Nursing Home/Long Term Care,Category of Care Inpatient Length of Stay,203,N
TBI,Diagnosis Codes,"310.2, 800-801.99, 803-804.99, 850-854.99, 905.0, 907.0, 950.1-950.3, 959.01, V15.52",X
Headache,Diagnosis Codes,"307.81, 339, 346, 784.0",X
Back or Neck Pain,Diagnosis Codes,"720-724.9, 737-737.9, 738.2, 738.4-738.5, 739.1-739.4, 756.1-756.2, 805-806.9, 839-839.59, 846-847.9",X
Any Mental Health Diagnosis,Diagnosis Codes,"290.0 ус 319.0 (excluding 305.1), 648.3-648.4",X
PTSD,Diagnosis Codes,309.81,X
Depression,Diagnosis Codes,"296.2ус296.36, 296.5, 296.9, 300.4, 311",X
Anxiety Disorder not PTSD,Diagnosis Codes,"300.0x, 300.2, 300.3",X
Bipolar Disorder,Diagnosis Codes,"296.00-296.16, 296.4, 296.6, 296.8",X
Psychosis,Diagnosis Codes,"295, 297, 298",X
Substance Abuse excluding Nicotine Dependence,Diagnosis Codes,"291, 292, 303-305.9 (excluding 305.1), 648.3-648.34",X
Nicotine Dependence,Diagnosis Codes,305.1,X
Amputation: Major,Diagnosis Codes,"887.0, 887.1, 887.2, 887.3, 897.0, 897.1, 897.2, 897.3, V49.64, V49.65, V49.66, V49.67, V49.74, V49.75, V49.76, V49.77, CPT and ICD-9 Procedure codes: 23900, 23930, 24900, 24920, 24925, 24930, 24931, 25900, 25905, 25907, 25909, 25915, 25920, 25924, 27290, 27295, 27590, 27591, 27592, 27594, 27596, 27598, 27880, 27881, 27882, 27884, 27886, 27888, 27889, 84.04, 84.05, 84.06, 84.07, 84.08, 84.13, 84.14, 84.15, 84.16, 84.17, 84.18, 84.19",X
Amputation: Minor,Diagnosis Codes,"885.0, 885.1, 886.0, 886.1, 887.7, 895.0, 895.1, 896.0-896.3, V49.61-V49.63, V49.71- V49.73, CPT and ICD-9 Procedure codes: 25927, 25929, 25931, 26910, 26951, 26952, 28800, 28805, 28810, 28820, 28825, 84.01, 84.02, 84.03, 84.11, 84.12",X
Amputation: Unspecified,Diagnosis Codes,"887.4-887.6, 897.4-897.7, V49.60, V49.70, CPT and ICD-9 Procedure codes: 24935, 24940, 84.0, 84.1, 84.10",X
Penetrating Eye Injury,Diagnosis Codes,"360.34, 360.43, 360.50-360.69, 871",X
Genitourinary Potentially Trauma related,Diagnosis Codes,"593.3, 593.4, 593.82, 596.1, 596.2, 596.4, 596.51, 596.53, 596.54, 596.7, 596.89, 598, 599.1, 599.4, 599.6, 599.7, 606, 607.84, 607.89, 680.8, 614, 616, 618, 619, 622.4, 623.2, 625, 626, 628",X
